building,pareto_index
B162720,6
B162722,6
B162725,3
B162727,6
B162728,6
B162731,5
B162734,6
B162735,6
B162736,6
B162737,6
B162738,6
B162739,6
B162740,6
B162741,6
B162742,6
B162743,6
B162745,6
B162746,6
B162747,6
B162748,6
B162749,6
B162751,6
B162752,6
B162753,6
B162754,6
B162757,6
B162759,6
B162761,6
B162762,6
B162763,6
B162778,6
B162779,6
B162781,6
B162782,6
B162783,6
B162784,6
B162785,6
B162786,6
B162787,6
B162788,6
B162789,6
B162790,6
B162791,6
B162792,6
B162793,6
B162794,6
B162795,6
B162796,6
B162797,6
B162798,6
B162799,6
B162800,6
B162801,6
B162802,6
B162803,6
B162804,6
B162805,6
B162806,6
B162808,4
B162809,4
B162813,6
B162816,6
B162818,6
B162822,6
B162824,6
B162825,6
B162826,6
B162827,6
B162830,6
B162831,6
B162834,6
B162835,6
B162836,6
B162838,6
B162840,5
B162842,6
B162845,5
B162846,6
B162847,6
B162848,5
B162849,5
B162851,5
B162852,3
B162853,5
B162854,5
B162855,6
B162856,5
B162857,6
B162858,6
B162859,6
B162860,5
B162861,5
B162862,3
B162865,6
B162866,5
B162867,6
B162868,5
B162869,5
B162871,6
B162873,6
B162874,5
B162875,5
B162876,5
B162877,5
B162878,4
B162879,3
B162881,3
B162882,3
B162883,4
B162885,5
B162886,5
B162887,4
B162890,5
B162891,5
B162892,3
B162893,3
B162894,5
B162895,5
B162896,5
B162897,5
B162899,5
B162900,5
B162902,0
B162904,5
B162905,4
B162911,5
B162912,5
B162914,6
B162915,6
B162917,3
B162918,6
B162919,6
B162920,6
B162921,6
B162922,6
B162923,6
B162924,6
B162925,6
B162929,5
B162930,3
B162931,6
B162932,3
B162933,3
B162934,5
B162935,4
B162947,5
B162949,2
B162950,5
B162952,5
B162956,5
B162958,2
B162959,5
B162962,5
B162963,6
B162964,0
B162965,5
B162966,4
B162967,5
B162968,5
B162969,5
B162971,4
B162975,5
B162978,5
B162984,5
B162988,3
B162989,5
B162990,5
B162999,5
B163000,6
B163003,5
B163004,4
B163005,5
B163007,5
B163008,5
B163009,3
B163010,3
B163011,5
B163012,5
B163013,5
B163014,5
B163015,6
B163016,5
B163018,5
B163021,2
B163022,0
B163024,5
B163026,3
B163027,3
B163028,5
B163029,3
B163030,3
B163031,5
B163032,5
B163033,3
B163034,5
B163035,6
B163036,5
B163037,4
B163040,5
B163041,6
B163042,6
B163043,4
B163044,6
B163045,5
B163047,0
B163051,2
B163053,3
B163054,5
B163055,5
B163057,5
B163058,5
B163059,3
B163060,2
B163061,3
B163064,6
B163065,6
B163067,5
B163068,4
B163071,6
B163072,6
B163073,4
B163074,5
B163075,6
B163076,6
B163077,5
B163078,5
B163079,5
B163080,5
B163081,5
B163082,6
B163083,6
B163084,6
B163085,6
B163095,5
B163096,3
B163097,5
B163098,5
B163099,5
B163107,6
B163108,6
B163110,5
B163111,5
B163112,5
B163113,5
B163114,5
B163115,5
B163116,5
B163117,6
B163118,6
B163119,6
B163120,6
B163121,6
B163122,5
B163123,5
B163124,5
B163125,5
B163126,5
B163127,6
B163128,5
B163129,6
B163130,5
B163131,0
B163132,5
B163133,6
B163134,6
B163136,2
B163137,5
B163139,5
B163141,5
B163142,5
B163143,5
B163144,6
B163145,6
B163146,6
B163147,6
B163148,6
B163149,6
B163150,6
B163151,6
B163152,6
B163153,5
B163154,6
B163160,0
B163161,6
B163162,0
B163164,6
B163170,5
B163171,6
B163172,3
B163173,5
B163174,6
B163175,5
B163176,4
B163178,5
B163179,5
B163180,5
B163181,6
B163182,6
B163185,6
B163186,5
B163187,5
B163188,5
B163189,6
B163190,5
B163192,5
B163198,5
B163199,0
B163200,5
B163201,6
B163377,4
B163378,4
B163379,4
B163380,3
B163381,4
B163382,4
B163383,2
B163384,5
B163385,5
B163386,5
B163389,5
B163390,4
B163392,4
B163393,3
B163394,6
B163395,0
B163396,5
B163399,3
B163401,3
B163402,5
B163403,3
B163406,6
B163407,4
B163408,5
B163409,5
B163410,2
B163411,5
B163412,3
B163413,5
B163414,5
B163472,5
B163474,3
B163475,5
B163477,3
B163479,6
B163481,3
B163483,3
B163484,5
B163485,5
B163486,5
B163487,3
B163488,5
B163489,5
B163490,3
B163491,3
B163492,3
B163493,4
B163494,6
B163495,5
B163496,4
B163497,5
B163498,2
B163499,4
B163500,5
B163501,5
B163502,5
B163503,5
B163504,5
B163505,5
B163506,6
B163507,5
B163509,5
B163510,5
B163511,3
B163512,3
B163513,6
B163514,5
B163515,5
B163516,6
B163517,5
B163518,6
B163519,5
B163520,5
B163521,5
B163522,6
B163523,4
B163524,0
B163526,2
B163527,5
B163528,5
B163529,5
B163530,3
B163531,5
B163532,5
B163545,4
B163546,5
B163547,5
B163548,5
B163549,6
B163550,5
B163551,5
B163552,5
B163553,5
B163554,5
B163555,5
B163556,5
B163557,4
B163558,5
B163559,5
B163560,6
B163569,5
B163570,5
B163571,5
B163572,5
B163573,5
B163574,5
B163575,3
B163576,3
B163577,3
B163578,3
B163579,6
B163580,6
B163581,6
B163582,6
B163583,5
B163584,5
B163585,5
B163586,5
B163587,4
B163588,5
B163591,6
B163592,5
B163593,6
B163594,6
B163595,6
B163597,6
B163598,6
B163599,6
B163600,6
B163602,4
B163603,0
B163606,5
B163607,0
B163608,6
B163610,0
B163611,5
B163612,5
B163613,5
B163614,5
B163615,6
B163616,0
B163617,5
B163618,5
B163619,5
B163620,6
B163621,5
B163622,0
B163623,5
B163626,5
B163627,5
B163629,5
B163630,5
B163631,3
B163632,5
B163636,6
B163637,6
B163638,5
B163639,5
B163641,6
B163642,6
B163643,6
B163644,6
B163645,6
B163646,6
B163647,5
B163650,6
B163651,6
B163652,5
B163653,3
B163654,3
B163656,3
B163657,6
B163658,6
B163664,3
B163665,3
B163666,2
B163669,5
B163670,5
B163671,5
B163675,5
B163676,4
B163677,5
B163678,4
B163680,0
B163685,0
B163688,5
B163690,5
B163697,5
B163698,3
B163699,0
B163700,3
B163701,5
B163702,5
B163703,3
B163704,5
B163705,3
B163706,5
B163707,5
B163708,5
B163709,5
B163710,5
B163711,5
B163712,5
B163713,5
B163714,5
B163715,5
B163716,5
B163717,5
B163718,5
B163719,5
B163720,5
B163721,5
B163722,5
B163723,4
B163725,5
B163726,3
B163727,5
B163728,6
B163729,6
B163730,6
B163731,6
B163732,2
B163734,3
B163735,5
B163736,5
B163737,5
B163738,4
B163747,5
B163748,5
B163749,5
B163750,5
B163751,6
B163752,5
B163755,6
B163758,5
B163759,5
B163760,5
B163761,5
B163762,4
B163763,5
B163764,5
B163765,5
B163766,5
B163767,5
B163768,5
B163769,6
B163770,6
B163771,5
B163772,6
B163773,6
B163774,6
B163775,5
B163776,6
B163777,5
B163778,5
B163787,5
B2365087,3
B2365616,6
B2365786,5
B2365803,3
B2373341,5
B2373400,0
B2373446,0
B2373452,6
B2373540,5
B2373544,5
B2373702,5
B302011403,5
B302012155,6
B302012842,6
B302012844,6
B302012846,6
B302012848,6
B302012852,6
B302012858,6
B302012859,6
B302012860,6
B302012861,6
B302012863,6
B302012864,6
B302012865,6
B302012866,6
B302012867,6
B302012869,6
B302012870,6
B302012871,6
B302012872,6
B302012873,6
B302012874,6
B302012875,6
B302012876,6
B302012891,6
B302012894,6
B302019336,6
B302019372,6
B302019436,6
B302019678,6
B302019872,6
B302019978,6
B302020031,6
B302020218,6
B302020344,6
B302021378,6
B302021380,6
B302021381,6
